name,link,date,genre,tracks_identificadas,qtd_tracks
"Almanac @ PINQROOM #2, Pinq São Paulo, Brazil",https://www.1001tracklists.com/tracklist/wcdwbj9/almanac-pinqroom-hash2-pinq-sao-paulo-brazil-2023-06-27.html,2023-06-27,"House, Tech House",20,21
Breaking Beattz & Almanac - Quintal do Grave,https://www.1001tracklists.com/tracklist/m035cj1/breaking-beattz-almanac-quintal-do-grave-2022-09-29.html,2022-09-29,"House, Tech House",20,20
"Breaking Beattz & Almanac @ PARK.ART 10 Anos, Brazil",https://www.1001tracklists.com/tracklist/1g00nq6k/breaking-beattz-almanac-park.art-10-anos-brazil-2022-07-28.html,2022-07-28,"House, Bass House",12,16
"Almanac @ Morro do Tuiuti, Rio de Janeiro, Brazil",https://www.1001tracklists.com/tracklist/12u41p5k/almanac-morro-do-tuiuti-rio-de-janeiro-brazil-2022-06-10.html,2022-06-10,"Tech House, Bass House",19,21
"Almanac @ XXXPERIENCE Festival, Brazil",https://www.1001tracklists.com/tracklist/y4x5cr9/almanac-xxxperience-festival-brazil-2022-05-06.html,2022-05-06,Tech House,17,17
Almanac - Sonzeira Radio Show #100 (100% AUTORAL),https://www.1001tracklists.com/tracklist/12qjtqjt/almanac-sonzeira-radio-show-100-100percent-autoral-2020-09-09.html,2020-09-09,"House, Tech House",16,18
Almanac - Deep Please,https://www.1001tracklists.com/tracklist/2dmkhy49/almanac-deep-please-2020-08-21.html,2020-08-21,"Mainstage, Tech House",15,16
"Almanac @ Club 1001, Brazil",https://www.1001tracklists.com/tracklist/10ulrg11/almanac-club-1001-brazil-2020-06-23.html,2020-06-23,House,17,17
"Almanac @ Carnavibe 2020 February, Brazil",https://www.1001tracklists.com/tracklist/y0rmk11/almanac-carnavibe-2020-february-brazil-2020-03-24.html,2020-03-24,House,16,17
"Mochakk & Almanac @ Quintal do Grave, Brazil",https://www.1001tracklists.com/tracklist/u97u0pk/mochakk-almanac-quintal-do-grave-brazil-2019-12-19.html,2019-12-19,"House, Tech House",13,14
Almanac - Sonzeira #058,https://www.1001tracklists.com/tracklist/w4wzkut/almanac-sonzeira-058-2019-10-09.html,2019-10-09,House,09,15
Almanac - Almanac Chapter 03 @ 100% Autoral,https://www.1001tracklists.com/tracklist/1yn7j5u1/almanac-almanac-chapter-03-at-100percent-autoral-2019-07-12.html,2019-07-12,"Mainstage, House",14,16
